2021-11-08 20:37:06.554012, rainbow6, hhcorkcity, Is anybody hear because they actually watch this tripe, or are we all here for free packs because I’m playing r6 since it came out and it’s my first time watching a stream, I’m shocked at how bad the commentators are genuinely shocked, PRIVMSG
2021-11-08 20:37:07.573556, rainbow6, reallyblessqd, Aussie Aussie Aussie oi oi oi Aussie Aussie Aussie oi oi oi Aussie Aussie Aussie oi oi oi, PRIVMSG
2021-11-08 20:37:07.879518, rainbow6, moonlightmirage, @kevkxv_ ngl i was thinking the same thing, PRIVMSG
2021-11-08 20:37:08.902238, rainbow6, wetpantsfps, 🥶🍦BING CHILLING🥶🍦BING CHILLING🥶🍦BING CHILLING🥶🍦BING CHILLING🥶🍦BING CHILLING🥶🍦BING CHILLING🥶🍦BING CHILLING🥶🍦, PRIVMSG
2021-11-08 20:37:09.211064, rainbow6, shadowwmoses, gg, PRIVMSG
2021-11-08 20:37:10.097304, rainbow6, karlbertil44, MANS PULLING OUT CS LINE UPS  KEKW, PRIVMSG
2021-11-08 20:37:13.201676, rainbow6, h0nsyda, !drops, PRIVMSG
2021-11-08 20:37:13.611699, rainbow6, moobot, @h0NSYda LINK your account here: https://drops-register.ubi.com/ | Check your DROPS PROGRESS here: https://www.twitch.tv/drops/inventory | For more info: https://www.twitch.tv/drops/campaigns | Event Guide: https://www.ubisoft.com/en-gb/esports/rainbow-six/siege/news-updates/1YixsoBSeyKb56TZIDyfB2, PRIVMSG
2021-11-08 20:37:14.430130, rainbow6, usefulcoyote, oh my, PRIVMSG
2021-11-08 20:37:16.373106, rainbow6, mainstaymist, 🥶🍦BING CHILLING🥶🍦BING CHILLING🥶🍦BING CHILLING🥶🍦BING CHILLING🥶🍦BING CHILLING🥶🍦BING CHILLING🥶🍦BING CHILLING🥶🍦BING CHILLING🥶🍦BING CHILLING🥶🍦BING CHILLING🥶🍦BING CHILLING🥶🍦BING CHILLING🥶🍦BING CHILLING🥶🍦BING CHILLING🥶🍦BING CHILLING, PRIVMSG
2021-11-08 20:37:17.422820, rainbow6, bucketofcereal, GG, PRIVMSG
2021-11-08 20:37:18.728548, rainbow6, native_the_tomato, 🥶🍦BING CHILLING🥶🍦BING CHILLING🥶🍦BING CHILLING🥶🍦BING CHILLING🥶🍦BING CHILLING🥶🍦BING CHILLING🥶🍦BING CHILLING🥶🍦BING CHILLING🥶🍦BING CHILLING🥶🍦BING CHILLING🥶🍦BING CHILLING🥶🍦BING CHILLING🥶🍦BING CHILLING🥶🍦BING CHILLING🥶🍦BING CHILLING, PRIVMSG
2021-11-08 20:37:18.912943, rainbow6, loomyoce, @Shigganori :~), PRIVMSG
2021-11-08 20:37:20.364892, rainbow6, demonnr6, 🥶🍦BING CHILLING🥶🍦BING CHILLING🥶🍦BING CHILLING🥶🍦BING CHILLING🥶🍦BING CHILLING🥶🍦BING CHILLING🥶🍦BING CHILLING🥶🍦BING CHILLING🥶🍦BING CHILLING🥶🍦BING CHILLING🥶🍦BING CHILLING🥶🍦BING CHILLING🥶🍦BING CHILLING🥶🍦BING CHILLING🥶🍦BING CHILLING Prime Gamingsunsetcat2: apac so bad Prime Gamingj3rmx007: Honestly ye i miss goin into kix streams hhcorkcity: Is anybody hear because they actually watch this tripe, or are we all here for free packs because I’m playing r6 since it came out an, PRIVMSG
2021-11-08 20:37:20.773866, rainbow6, gtacod_5, 🥶🍦BING CHILLING🥶🍦BING CHILLING🥶🍦BING CHILLING🥶🍦BING CHILLING🥶🍦BING CHILLING🥶🍦BING CHILLING🥶🍦BING CHILLING🥶🍦BING CHILLING🥶🍦BING CHILLING🥶🍦BING CHILLING🥶🍦BING CHILLING🥶🍦BING CHILLING🥶🍦BING CHILLING🥶🍦BING CHILLING🥶🍦BING CHILLING, PRIVMSG
