2021-11-08 11:37:59.819517, xqcow, iamslaytanic, not cod lobbies, PRIVMSG
2021-11-08 11:37:59.819524, xqcow, ant__k, KKona, PRIVMSG
2021-11-08 11:37:59.819532, xqcow, kubz1, PepeLaugh CONSOLE ANDIES, PRIVMSG
2021-11-08 11:37:59.819539, xqcow, burrito_feline, nathanTowel, PRIVMSG
2021-11-08 11:37:59.819546, xqcow, cman350, PepeLaugh, PRIVMSG
2021-11-08 11:38:00.004584, xqcow, playboi_segura, HERE WE GO, PRIVMSG
2021-11-08 11:38:00.004619, xqcow, vi5ual, @xQcOW STG BEST GUN, PRIVMSG
2021-11-08 11:38:00.379658, xqcow, forgettrance, Copege i wasnt even trying breh, PRIVMSG
2021-11-08 11:38:01.436403, xqcow, crewealexander, Copege, PRIVMSG
2021-11-08 11:38:01.628964, xqcow, andyzhou1, FeelsGoodMan Clap im ready, PRIVMSG
2021-11-08 11:38:01.628995, xqcow, happy_forest, PepeLaugh cod lobbies, PRIVMSG
2021-11-08 11:38:01.629006, xqcow, fossabot, xqcL bonjellaxo just joined the jungle! xqcL Thanks so much for subbing xqcL And supporting the stream! xqcL, PRIVMSG
2021-11-08 11:38:01.629014, xqcow, mackyt, classic cod comms, PRIVMSG
2021-11-08 11:38:01.629022, xqcow, radster_brad52, 3 chills BatChest, PRIVMSG
2021-11-08 11:38:01.629029, xqcow, redmantuber, KKonaW, PRIVMSG
2021-11-08 11:38:01.820998, xqcow, killerpidgey, BatChect OMG, PRIVMSG
2021-11-08 11:38:02.012065, xqcow, suparfresh, PepeLaugh TeaTime, PRIVMSG
2021-11-08 11:38:02.012107, xqcow, muhai2, controller OMEGALUL, PRIVMSG
2021-11-08 11:38:02.012127, xqcow, bigsh0t_, 3 KILS 🤓, PRIVMSG
2021-11-08 11:38:02.012144, xqcow, deepestshadow, KKonaW, PRIVMSG
2021-11-08 11:38:02.012159, xqcow, brackedon, ITS ALL FOR COLD WAR OMEGALUL ITS ALL FOR COLD WAR OMEGALUL ITS ALL FOR COLD WAR OMEGALUL ITS ALL FOR COLD WAR OMEGALUL ITS ALL FOR COLD WAR OMEGALUL, PRIVMSG
2021-11-08 11:38:02.012173, xqcow, justmark22, BatChest, PRIVMSG
2021-11-08 11:38:02.269656, xqcow, gtix, FeelsGoodMan im ready, PRIVMSG
2021-11-08 11:38:02.460279, xqcow, co_olimagination, cod lobbies, PRIVMSG
2021-11-08 11:38:02.460304, xqcow, r1thz, HERE WE GOOO, PRIVMSG
2021-11-08 11:38:02.460313, xqcow, simplydavee, cod lobbies PepeLaugh, PRIVMSG
2021-11-08 11:38:02.460330, xqcow, waslib, BatChest, PRIVMSG
2021-11-08 11:38:02.460337, xqcow, mcfigon, monkaS cod voice chat, PRIVMSG
2021-11-08 11:38:02.460344, xqcow, youngmetro_21, AND THEN WHAT xqcDespair, PRIVMSG
2021-11-08 11:38:02.646430, xqcow, bluethunder_, IM NOT DOGSHIT Copege, PRIVMSG
2021-11-08 11:38:02.646465, xqcow, hm_king_, PepeLaugh, PRIVMSG
2021-11-08 11:38:02.646473, xqcow, frodyy_, PepeLaugh COD LOBBIES, PRIVMSG
2021-11-08 11:38:02.646480, xqcow, nobat00, PepeLaugh, PRIVMSG
2021-11-08 11:38:02.646492, xqcow, qualis, 🦍 NO WOMEN 🦍 NO WOMEN 🦍 NO WOMEN 🦍 NO WOMEN 🦍 NO WOMEN 🦍 NO WOMEN 🦍 NO WOMEN 󠀀, PRIVMSG
2021-11-08 11:38:02.646503, xqcow, infamous_mobb, OMEGALUL SCAMGUARD OMEGALUL SCAMGUARD OMEGALUL SCAMGUARD OMEGALUL SCAMGUARD OMEGALUL SCAMGUARD OMEGALUL SCAMGUARD OMEGALUL SCAMGUARD OMEGALUL SCAMGUARD, PRIVMSG
2021-11-08 11:38:02.646511, xqcow, poormansrose_, PepeLaugh, PRIVMSG
2021-11-08 11:38:02.646518, xqcow, laoganmaenjoyer, Controller OMEGALUL, PRIVMSG
